"news_influencer_id","news_id","influencer_name"
"937","574","hambra+samal"
"938","575","finalita+a+nasution"
"939","576","syamsul+huda"
"940","577","roby+hervindo"
"941","578","febri+diansyah"
"942","579","roby+hervindo"
"943","580","syamsul+huda"
"944","581","febri+diansyah"
"945","582","diana+permana"
"946","582","airborne+honey+john+smith"
"947","582","geovani+jatmiko"
"948","583","amran+sulaiman"
"949","584","sony+susmana"
"950","584","pengetahuan+sonny"
"951","585","syamsul+huda"
"952","586","soekarwo"
"953","586","pakdhe+karwo"
"954","587","jusuf+kalla"
"955","588","achmad+yurianto"
"956","589","joko+martono"
"957","589","lelogama+frengky+funay"
"958","589","thom+kameo"
"959","589","fitus+efi"
"960","590","febri+diansyah"
"961","591","roby+hervindo"
"962","591","kiki"
"963","592","sultani"
"964","593","rahman"
"965","594","ira+irianty"
"966","595","roby+hervindo"
"967","595","kiki"
"968","596","adiatma+sardjito"
"969","597","lilik"
